Movie Title,Director,Main Cast
The Lavender Hill Mob,Charles Crichton,"Alec Guinness, Stanley Holloway, Sidney James, Alfie Bass, Marjorie Fielding, Edie Martin, John Salew, Ronald Adam, Arthur Hambling, Gibb McLaughlin, John Gregson, Clive Morton, Sydney Tafler, Marie Burke, Audrey Hepburn, William Fox, Michael Trubshawe, Ann Heffernan, Jacques B. Brunius, Eugene Deckers, Paul Demel, Andreas Malandrinos, Cyril Chamberlain, Tony Quinn, Moultrie Kelsall, Christopher Hewett, Meredith Edwards, Patrick Barr, David Davies, John Adams, Ernest Blyth, Alanna Boyce, Jim Brady, Johnny Briggs, Daniel Brown, Peter Bull, Jacques Cey, Joe Clarke, Robert Coote, Jacqueline Curtis, Richard Davies, Patric Doonan, Archie Duncan, Norman Fisher, Frank Forsyth, Rex Garner, Patricia Garwood, Fred Griffiths, Victor Hagan, Eileen Harvey, Ned Hood, Gerry Judge, Charles Lamb, Howard Lang, Desmond Llewelyn, Martin Lyder, Cyril Lyons, Louis Matto, Manny Michael, Arthur Mullard, Marie Ney, Fred Nicholas, Joe Phelps, Frederick Piper, Ernie Priest, Ernie Rice, Johnny Rossi, Robert Shaw, Valerie Singleton, George Spence, John Warwick, Richard Wattis, George Wilson, Neil Wilson, Margaret Harper Nelson, Muriel Cole"
Capturing the Friedmans,Andrew Jarecki,"Arnold Friedman, Elaine Friedman, David Friedman, Seth Friedman, Jesse Friedman, John McDermott, Frances Galasso, Anthony Sgeugloi, Chuck Scarborough, Joseph Onorato, Judd Maltin, Howard Friedman, Abbey Boklan, Ron Georgalis, Scott Banks, Larry King, Debbie Nathan, Jerry Bernstein, Peter Panaro, Lloyd Doppman, Jack Fallin"
American Hustle,David O. Russell,"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner, Jennifer Lawrence, Louis C.K., Jack Huston, Michael Peña, Shea Whigham, Alessandro Nivola, Elisabeth Röhm, Paul Herman, Saïd Taghmaoui, Matthew Russell, Thomas Matthews, Adrian Martinez, Anthony Zerbe, Colleen Camp, Steve Gagliastro, Christopher Tarjan, Zachariah Supka, Christy Scott Cashman, Simon Hamlin, Martie Barylick, Dawn Olivieri, Becki Dennis, Jay Giannone, Arthur Birnbaum, Rob DiNinni, Michael Fennimore, Jack Jones, Danny Corbo, Sonny Corbo, Bo Cleary, Greg Maxwell, Mickey O'Keefe, Aaron Flanders, Erica McDermott, Alura Carbrey, Kayla Feeney, Shannon Halliday, Volieda Webb, Patsy Meck, Abby Lavin, Damien Di Paola, Paul Campbell, Jeff Avigian, Stacy Hock, Michael Trigg, Richard Heneks, Ted Zalewski, Elias Birnbaum, Armen Garo, Sal DiMino, Gary Craig, Barry Primus, Sonny Gordon, Deva Mahal, Dicky Eklund Jr., Sean Eklund, Charley Broderick, Richard Donelly, Gary Zahakos, Frank Geraci, Melson Alford, Melissa McMeekin, JJ Wright, Bob Taraschi, Giovanni Alabiso, Kilo Alexander, Jacqueline Astbury, Stephanie Atkinson, Kt Baldassaro, Gregory Barbon, Marshall Berenson, Gavin Maddox Bergman, Steve Bertorelli, Clinton Blackburn, Ronald Boone, David Boston, D. Patrick Bowles, Jim Boyd, Paul Bronk, Joshua Brown, Rick Burtt, Christopher Butler, Emma Cavalier, Chemi Che-Mponda, Bruce Chester, Ellen Collins, Guy Cooper, Monique Coppola, Jeffrey Corazzini, Christopher Coulouras, Samantha Creed, Tiffany Crosby, Naysa Kaira DaSilva, Robert De Niro, Tess Degen, Leslie Diana, Lindsay Graham, Mary Vernieu, Jennifer Dwyer, Aaron Kahl, Ashley Lambert, Angela Peri, Ashley Skomurski, Suzanne Crowley, Jessica Kelly, Sarah Otteman, Marisol Roncali"
The Passenger (re-release),Michelangelo Antonioni,"Jack Nicholson, Maria Schneider, Jenny Runacre, Ian Hendry, Steven Berkoff, Ambroise Bia, Charles Mulvehill, Miquel Bordoy, José María Caffarel, James Campbell, Ángel del Pozo, Jaime Doria, Joan Gaspart, Narciso Pula, Gustavo Re, Enrico Sannia, Manfred Spies, Jean-Baptiste Tiémélé"
Star Wars: Episode IV - A New Hope,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, Phil Brown, Shelagh Fraser, Jack Purvis, Alex McCrindle, Eddie Byrne, Drewe Henley, Denis Lawson, Garrick Hagon, Jack Klaff, William Hootkins, Angus MacInnes, Jeremy Sinden, Graham Ashley, Don Henderson, Richard LeParmentier, Leslie Schofield, David Ankrum, Mark Anthony Austin, Scott Beach, Jon Berg, Doug Beswick, Paul Blake, Janice Burchette, Ted Burnett, John Chapman, Gilda Cohen, Tim Condren, Barry Copping, Alfie Curtis, Robert Davies, Maria De Aragon, Barbie Denham, Frazer Diamond, Peter Diamond, Warwick Diamond, Sadie Eden, Kim Falkinburg, Harry Fielder, Anthony Forrest, Ted Gagliano, Salo Gardner, Steve Gawley, Barry Gnome, Rusty Goffe, Isaac Grand, Nelson Hall, Reg Harding, Alan Harris, Frank Henson, Christine Hewett, Tiffany Hillkurtz, Arthur Howell, Tommy Ilsley, Joe Johnston, Annette Jones, James Earl Jones, Linda Jones, Joe Kaye, Colin Michael Kitchens, Melissa Kurtz, Al Lampert, Laine Liska, Derek Lyons, Mahjoub, Alf Mangan, Rick McCallum, Grant McCune, Geoffrey Moon, Mandy Morton, Lorne Peterson, Marcus Powell, Shane Rimmer, Pam Rose, George Roubicek, Erica Simmons, Angela Staines, George Stock, Roy Straite, Peter Sturgeon, Peter Sumner, John Sylla, Tom Sylla, Malcolm Tierney, Phil Tippett, Frances Alfred Basil Tomlin, Burnell Tucker, Morgan Upton, Jerry Walter, Hal Wamsley, Larry Ward, Diana Sadley Way, Dianne Crittenden, Irene Lamb, Vic Ramos, Kathi Castillo, Nelson Shin, Ray Adams, Samuel Artis, Robert Bourton, William Brown, Jack Brymer, Stanley Castle, Robert Clark, Brian Clarke, Sydney Colter, Thomas Cook, John Cooper, Geoffrey Creese, Eric Cuthbertson, Pashanko Dimitroff, Peter Francis, Norman Freeman, Dennis Gaines, Brian Gaulton, Clive Gillinson, Keith Glossop, Arthur Griffiths, Warwick Hill, Patrick Hooley, David Hume, William Krasnik, Kenneth Law, David Llewellyn, Maurice Meulien, Michael Mitchell, Ronald Moore, Brian Morrison, Terence Morton, Gordon Neal, Gerald Newson, Robert Noble, Francis Nolan, Douglas Powrie, Robert Retallick, Cyril Reuben, Michael Round, Lowry Sanders, Francis Saunders, Renata Scheffel-Stein, Herbert W. Spencer, Jack Steadman, Donald Stewart, Thomas Storer, William Sumpton, Thomas Swift, Alexander Taylor, Richard Taylor, Brian Thomas, Eric Tomlinson, Patrick Vermont, Kenneth Wannberg, Neil Watson, Merrily Weber, David Williams, Norman Archibald, Irvine Arditti, Israel Baker, Harry Bluestone, Robin Brightman, James Brown, John Butterworth, Anthony Camden, Anthony Chidell, Alexander Courage, Eric Crees, David Cripps, Douglas Cummings, Mike De Saulles, Sandy DeCrescent, John Fletcher, Mike Frye, Brian Gascoigne, Kurt-Hans Goedicke, Roger Grove, Ralph Izen, Tommy Johnson, Roy Jowitt, Paul Kegg, William Lang, Jack Long, Roger Lord, George Lucas, John Marson, Frank Mathison, Angela Morley, Arthur Morton, Maurice Murphy, Alfred Newman, Lionel Newman, Peter Norris, Ray Northcott, James Quaife, Tom Raney, Steve Reading, John Rooke, Steve Schaeffer, Nick Joseph"
Persepolis,"Vincent Paronnaud, Marjane Satrapi","Chiara Mastroianni, Catherine Deneuve, Danielle Darrieux, Simon Abkarian, Gabrielle Lopes Benites, François Jerosme, Sophie Arthuys, Jean-François Gallotte, Arié Elmaleh, Mathias Mlekuz, Sasha Alliel, Lesceline Hasse, Virginie Antico, Nicolas Leroy, Bénédicte Battesti, Candide Lopes, Hubert Benhamdine, Tilly Mandelbrot, Ninon Brétécher, Jean-christophe Menu, Jean-Philippe Callet, Céline Merrien, Idit Cebula, Charlotte Miquel, Carlos Chahine, Farida Ouchani, Eric Chevallier, Vincent Paronnaud, Isabelle Chipot, Françoise Pavy, Jean-Marc Couderc, Emmanuel Payet, Fanny Dalle-Rive, Xavier Rigault, Fanny Daurat, Gaspard Robert, Anne Deleuze, Marc-Antoine Robert, Gilles Duval, Stéphane Roche, Stéphane Foenkinos, Marjane Satrapi, Marie Gili-Pierre, Théo Sampaio, François Girard, Denis Walgenwitz, Lexie Kendrick, Sean Penn, Gena Rowlands, Adriana Anderson, Paul Bandey, Robert Barr, Robert William Bradford, Stephen Croce, Bill Dunn, Christine Flowers, David Gasman, Matthew Géczy, Mirabelle Kirkland, Christopher Mack, Iggy Pop, Nathan Rippy, Barbara Scaff, Allan Wenger, Kevin Audi-Grivetta, Riccardo Audisio, Sophie Baraduc, Damien Barrau, Franck Bonay, Anne Calandre, Jean-Yves Castillon, Pascal Chevet, Anaïs Chevillard, Patrick Cohen, Odile Comon, Cécile Coulibeuf, Serge Creste, Philippe Culas, Clément Céard, Antoine Dartige, Nicole de Bellefroid, Stéphanie Delmas, Sandra Derval, Christian Desmares, Bernard Dourdent, Cecile Dubois-Herry, Grégory Duroy, Serge Elissalde, David Etien, Christophe Ferreira, Florian Fiebig, Fabrice Fouquet, Damien Gaillardon, David Galante, Jocelyn Gallon, Didier Gourdin, Mael Gourmelen, Jean-Paul Guigue, Emmanuel Guille-Vuora, Virginie Hanrigou, Lesceline Hasse, Nicolas Haute, Bruno-Evalie Helie, Catherine Helmer, Alexandre Hesse, Anne-Marie Irlande, Veronique Langdon, Géraldine Le Moigne, Marianne Lebel, Gregory Lecocq, François Leroy, Alice Lia, Habib Louati, Ahmidou Lyazidi, Frédéric Martin, Nathalie Mathé, Charlotte Mazeran, Benoit Meurzec, Damien Millereau, Pierre Minoux, Adeline Monin, Nicolas Pawlowski, Thierry Peres, Etienne Pinault, Christophe Pinto, Guy Quelquejeu, Marielle Rabourdin, Marie-Cécile Raccaud, Nilsen Robin, Stéphane Roche, Nicolas Ruedy, Valérie Schaefer, Jules Stromboni, Julien Thompson, Denis Vautrin, Jung Wang, Blias Yang, Rémi Zaarour, Sylvie Peyrucq, Emmanuelle Prévost"
The Age of Innocence,Martin Scorsese,"Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Linda Faye Farkas, Michael Rees Davis, Terry Cook, Jon Garrison, Richard E. Grant, Alec McCowen, Geraldine Chaplin, Mary Beth Hurt, Stuart Wilson, Howard Erskine, John McLoughlin, Christopher Nilsson, Miriam Margolyes, Siân Phillips, Carolyn Farina, Michael Gough, Alexis Smith, Kevin Sanders, W.B. Brydon, Tracey Ellis, Cristina Pronzati, Clement Fowler, Norman Lloyd, Cindy Katz, Thomas Gibson, Zoë, Jonathan Pryce, June Squibb, Domenica Cameron-Scorsese, Mac Orange, Brian Davies, Thomas Barbour, Henry Fehren, Patricia Dunnock, Robert Sean Leonard, Joanne Woodward, Kevin Ash, Susan Lynn Bragg, Pasquale Cajano, Tanya Carrasco, Tamasin Day-Lewis, John Maczko, Catherine Scorsese, Charles Scorsese, Martin Scorsese, Michael Trout, Ellen Lewis, Fleet Emerson, Sylvia Fay, Julie Madison, Deborah Rudy"
The Best of Youth,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Adriana Asti, Sonia Bergamasco, Fabrizio Gifuni, Maya Sansa, Valentina Carnelutti, Jasmine Trinca, Andrea Tidona, Lidia Vitale, Claudio Gioè, Paolo Bonanni, Giovanni Scifoni, Riccardo Scamarcio, Camilla Filippi, Mario Schiano, Michele Melega, Thérèse Vaddem, Stefano Abbati, Giovanni Martorana, Paolo De Vita, Mimmo Mignemi, Domenico Centamore, Pippo Montalbano, Gaspare Cucinella, Dario Veca, Nicola Vigilante, Marcello Prayer, Walter Da Pozzo, Krum De Nicola, Maurizio Di Carmine, Roberto Accornero, Fabio Camilli, Antonello Puglisi, Emilia Marra, Patrizia Punzo, Nila Carnelutti, Greta Cavuoti, Francesco La Macchia, Sara Pavoncello, Valeria Colangelo, Laura Di Mariano, Massimiliano Petrucci, Claudia Fiorentini, Giorgio Crisafi, Paolo Emilio Alvarez de Castro, Rosa Canova, Aldo Mansi, Ferdinando Martin, Angelo Giuliano, Angelo Costabile, Enzo Marcelli, Aldo Innocenti, Stefano Biscotti, Sjur Midttun, Rasmus Bu, Mohammed Essaje, Cinzia Cartei, Sergio Risso, Assia Pallavicino, Lavinia Matteucci, Danilo Maria Valli, Fabio Roscillo, Alberto Pozzo, Maddalena Recino, Massimo Del Sette, Letterio Micalizzi, Roberto Faglia, Nanni Tormen, Zefferino Stefanic, Giusto Lo Piparo, Marcella Mariotti, Manuela Massarenti, Alessandro Trotta, Angelica Zanardi, Juana Jimenez, Giuseppe Gandini, Maria Grazia Bon, Mattia Osti, Raffaele D'Orsi, Giuseppe Mascia, Fabio Rossi, Leonardo Antiri, Alessio Brilli, Giovanni Giordana, Fausto Maria Sciarappa, Kristine M. Opheim, Giuseppe Battiston, Max Biondi, Giuseppe Pesare, Federico Russo, Barbara Melega, Luigi Palmulli"
The Overnighters,Jesse Moss,"Jay Reinke, Andrea Reinke, Alan Mezo, Shelly Schultz, Keegan Edwards, Michael Batten, Paul Engel, Keith Graves, Glen Granrud, Terry Forke, John Rupkalvis"
Fat City,John Huston,"Stacy Keach, Jeff Bridges, Susan Tyrrell, Candy Clark, Nicholas Colasanto, Art Aragon, Curtis Cokes, Sixto Rodriguez, Billy Walker, Wayne Mahan, Ruben Navarro, Álvaro López, Carl D. Parker, Bill Riddle, Al Silvani, Fred Roos, Jennifer Shull"
The Lives of Others,Florian Henckel von Donnersmarck,"Martina Gedeck, Ulrich Mühe, Sebastian Koch, Ulrich Tukur, Thomas Thieme, Hans-Uwe Bauer, Volkmar Kleinert, Matthias Brenner, Charly Hübner, Herbert Knaup, Bastian Trost, Marie Gruber, Volker Zack, Werner Daehn, Martin Brambach, Hubertus Hartmann, Thomas Arnold, Hinnerk Schönemann, Paul Faßnacht, Ludwig Blochberger, Paul Maximilian Schüller, Susanna Kraus, Gabi Fleming, Michael Gerber, Fabian von Klitzing, Harald Polzin, Sheri Hagen, Gitta Schweighöfer, Elja-Dusa Kedves, Hildegard Schroedter, Inga Birkenfeld, Philipp Kewenig, Jens Wassermann, Ernst-Ludwig Petrowsky, Manfred Ludwig Sextett, Kai Ivo Baulitz, Charlene Beck, Ralf Ehrlich, Anabelle D. Munro, Klaus Münster, Simone Bär, Marcel Dykiert, Iris Müller, Kirstin Plotz"
Two-Lane Blacktop,Monte Hellman,"James Taylor, Warren Oates, Laurie Bird, Dennis Wilson, David Drake, Richard Ruth, Rudy Wurlitzer, Jaclyn Hellman, Bill Keller, Harry Dean Stanton, Don Samuels, Charles Moore, Tom Green, W.H. Harrison, Alan Vint, Illa Ginnaven, George Mitchell, A.J. Solari, Katherine Squire, Melissa Hellman, Jay Wheatley, James Mitchum, Kreag Caffey, Tom Witenbarger, Glen Rogers, Tomas Moore, Big Willie Robinson III, Fred Roos, Jennifer Shull"
House of Flying Daggers,Yimou Zhang,"Takeshi Kaneshiro, Andy Lau, Ziyi Zhang, Dandan Song, Hongfei Zhao, Jun Guo, Shu Zhang, Jiusheng Wang, Zhengyong Zhang, Yongxin Wang, Dong Liu, Qi Zi, Xuedong Qu, Liping Tian, Hongwei Zhao, Weina Huang, Dan Ge, Xiadong Yang, Yisha Shang, Ying Liu, Jingwen Huang, Kejia Zhang, Tianyou Luo, Lin Zhu, Jiwei Hu, Yu Hong, Bojie Hao, Jiajun Zhu, Ge Xu, Jingxiu Chou, Cuifang Guo, Chengyuan Li, Shuo Zhang, Jidong Zhang, Qiang Li, Yang Fu, Guang Yang, Yang Wen, Liang Chen, Xiuqiang Lin, Kun Wang, Meng Li, Ming Dong, Xiaodong Zheng, Chacha Song, Xuanyi Wang, Xueying Huang, Jingchuan Dong, Yanxi Li, Tengyuan Liu, Wenxi Zhu"
63 Up,Michael Apted,"Nicholas Hitchon, Lynn Johnson, Charles Furneaux, Neil Hughes, Tony Walker, Bruce Balden, John Brisby, Jacqueline Bassett, Suzanne Dewey, Symon Basterfield, Andrew Brackfield, Paul Kligerman, Susan Sullivan, Peter Davies"
Minding the Gap,Bing Liu,"Kent Abernathy, Mengyue Bolen, Nina Bowgren, Keire Johnson, Bing Liu, Zack Mulligan"
Investigation of a Citizen Above Suspicion [re-release],Elio Petri,"Gian Maria Volontè, Florinda Bolkan, Gianni Santuccio, Orazio Orlando, Sergio Tramonti, Arturo Dominici, Aldo Rendine, Massimo Foschi, Aleka Paizi, Vittorio Duse, Pino Patti, Salvo Randone, Giuseppe Licastro, Filippo De Gara, Fulvio Grimaldi, Ugo Adinolfi, Franco Marletta, Giacomo Bellini, Giuseppe Terranova, Vincenzo Falanga, Roberto Bonanni, Guido Buzzelli, Gino Usai, Calogero Azzaretto, Ugo Ballester, Gianfranco Barra, Antonio Calò, Aristide Caporale, Tony Casale, Franz Colangeli, Ferruccio Fregonese, Ettore Geri, Alfonso Giganti, Franco Magno, Enrico Marciani, Romano Milani, Enzo Mondino, Romano Moraschini, Mario Pascucci, Fulvio Pellegrino, Elio Petri, Manlio Salvatori, Mario Silvestri, Alessandro Tedeschi, Armando Tortorici"
Treasure Island,Byron Haskin,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald, Denis O'Dea, Finlay Currie, Ralph Truman, Geoffrey Keen, Geoffrey Wilkinson, John Laurie, Francis De Wolff, David Davies, John Gregson, Andrew Blackett, William Devlin, Howard Douglas, Harry Locke, Sam Kydd, Stephen Jack, Harold Jamieson, David Blake Kelly, Reginald Drummond, Gordon Mulholland, Patrick Troughton, Jim Brady, Chris Adcock, Tom Lucas, Leo Phillips, Eddie Moran, Bob Head, Ken Buckle, Paddy Brannigan, Jack Arrow, Freddy Clark, Maude Spector"
Searching for Bobby Fischer,Steven Zaillian,"Max Pomeranc, Joe Mantegna, Joan Allen, Ben Kingsley, Laurence Fishburne, Michael Nirenberg, Robert Stephens, David Paymer, Hal Scardino, Vasek Simek, William H. Macy, Dan Hedaya, Laura Linney, Anthony Heald, Steven Randazzo, Chelsea Moore, Josh Mostel, Josh Kornbluth, Tony Shalhoub, Austin Pendleton, Tom McGowan, Ona Fletcher, Kamran Shirazi, Joel Benjamin, Roman Dzindzichashvili, Jerry Poe McClinton, Matt De Matt, Vincent Smith, Jerry Rakow, William Colgate, Tony De Santis, R.D. Reid, Anthony McGowen, Katya Waitzkin, Ryder Fleming-Jones, Harris Krofchick, John Bourgeois, Maria Ricossa, Caroline Yeager, Andrew Sardella, Nathan Carter, Nicholas Taylor, Jonathan Fazio, Nicky Mellina, Philip Neiman, Elizabeth Gropman, Bobby Fischer, Matt Birman, Robert Anthony Carswell, James Garrigan, Bruce Pandolfini, Edd Scorpio, Thomas Spindler, Josh Waitzkin, Tina Gerussi, Avy Kaufman"
Whiplash,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell, Nate Lang, Chris Mulkey, Damon Gupton, Suanne Spoke, Max Kasch, Charlie Ian, Jayson Blair, Kofi Siriboe, Kavita Patil, C.J. Vana, Tarik Lowe, Tyler Kimball, Rogelio Douglas Jr., Adrian Burks, Calvin C. Winbush, Joseph Bruno, Michael D. Cohen, Jocelyn Ayanna, Keenan Henson, Janet Hoskins, April Grace, Clifton 'Fou Fou' Eddie, Marcus Henderson, Tony Baker, Henry G. Sanders, Sam Campisi, Jimmie Kirkpatrick, Keenan Allen, Ayinde Vaughan, Shai Golan, Yancey Wells, Candace Roberge, Krista Kilber, Shannon Adawn, Cici Leah Campbell, Damien Coates, Ellee Jane Hounsell, Stephen Hsu, Herman Johansen, Wendee Lee, Dakota Lupo, Jesse Mitchell, Arnold Montey, Amanda Noriko Newman, Joseph Oliveira, Brandon Eugene Owens, Adam Perez, Aaron Reihs, Michelle Ruff, Alex Stark, Tian Wang, Daniel Weidlein, Terri Taylor, Sarah Domeier Lindo, Barbara Harris, Heather Sirota, Andrew Stubblefield"
National Gallery,Frederick Wiseman,"Leanne Benjamin, Kausikan Rajeshkumar, Jo Shapcott, Edward Watson, Larry Keith, Nicholas Penny, Luke Syson"
Assault on Precinct 13,Jean-François Richet,"Ethan Hawke, Laurence Fishburne, Gabriel Byrne, Maria Bello, Drea de Matteo, John Leguizamo, Brian Dennehy, Ja Rule, Currie Graham, Aisha Hinds, Matt Craven, Fulvio Cecere, Peter Bryant, Kim Coates, Hugh Dillon, Tig Fong, Jasmin Geljo, Jessica Greco, Dorian Harewood, Philip Marshall, Arnold Pinnock, Edward A. Queffelec, Robert Hayley, Courtney Cunningham, Leford Lawes, Roman Podhora, Gilson Lubin, Brian King, Laurent Richet, J.C. Kenny, Sasha Roiz, Ray Kahnert, Dave Tommasini, Jeff Ironi, Melissa Thomson, Darren Frost, Al Vrkljan, Titus Welliver, Tony Burton, DTeflon, Colin Glazer, Derwin Phillips, Kerry Barden, Suzanne Crowley, Billy Hopkins, Robin D. Cook, Sara Kay, Deedra Ricketts, Jane Rogers, Paul Schnee"
Man on Wire,James Marsh,"Philippe Petit, Jean François Heckel, Jean-Louis Blondeau, Annie Allix, David Forman, Alan Welner, Mark Lewis, Barry Greenhouse, Jim Moore, Guy F. Tozzoli, Paul McGill, David Demato, Ardis Campbell, Aaron Haskell, Shawn Dempewolff-Barrett, David Roland Frank, Megan Delay, Laurence Gates, Robert Hager, Bruce Kocher, Joel Ney, Robert Sciglimpaglia, Adine Duron, Steve Zak"
Y Tu Mamá También,Alfonso Cuarón,"Daniel Giménez Cacho, Ana López Mercado, Diego Luna, Gael García Bernal, Nathan Grinberg, Verónica Langer, María Aura, Giselle Audirac, Arturo Ríos, Andrés Almeida, Diana Bracho, Emilio Echevarría, Marta Aura, Maribel Verdú, Juan Carlos Remolina, Liboria Rodríguez, Silverio Palacios, Mayra Serbulo, Andrea López, Amaury Sérbulo, Ricardo Pacheco, Jorge Vergara, Manuel Teil, César González, Oscar González, Natalia Pollak"
For Sama,"Waad Al-Kateab, Edward Watts","Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab, Afra, Salim, Wisam, Zain, Naya, Taima Al-Khateab, Dana Abed, Tia Alkerdi, Yara Ibrahim"
Force of Evil,Abraham Polonsky,"John Garfield, Beatrice Pearson, Thomas Gomez, Marie Windsor, Howland Chamberlain, Roy Roberts, Paul Fix, Stanley Prager, Barry Kelley, Paul McVey, Murray Alper, Jessie Arnold, Sam Ash, Georgia Backus, Margaret Bert, Larry J. Blake, Mildred Boyd, Ralph Brooks, John Butler, Douglas Carter, William Challee, Cliff Clark, Eileen Coghlan, Roger Cole, John 'Uh huh' Collum, Barbara Combs, Betty Corner, Bert Davidson, Jim Davies, Jan Dennis, Jim Drum, Ann Duncan, Jimmie Dundee, Ralph Dunn, Jay Eaton, Helen Eby-Rock, Richard Elmore, Estelle Etterre, Charles Evans, Budd Fine, Joel Fluellen, Paul Frees, David Fresco, Dick Gordon, Sherry Hall, Chuck Hamilton, Bert Hanlon, Carl Hanson, Ray Hirsch, Ray Hyke, John Indrisano, Perry Ivins, Milton Kibbee, Raymond Largay, Will Lee, George Magrill, Allen Mathews, Mickey McGuire, David McKim, Forbes Murray, Bill Neff, Paul Newlan, William H. O'Brien, Arthur O'Connell, Frank O'Connor, Jack Overman, Edward Peil Sr., Frank Pharr, Joey Ray, Bob Reeves, Shimen Ruskin, Tim Ryan, Louise Saraydar, Carl Saxe, Carl Sklover, Cap Somers, Esther Somers, Bob Stebbins, Bert Stevens, Diane Stewart, Barbara Stone, Robert Strong, Brick Sullivan, Sid Tomack, Jim Toney, Phil Tully, Max Wagner, Joe Warfield, Stanley Waxman, Mervin Williams, Robert B. Williams, Harry Wilson, Bud Wiser, Barbara Wooddell, Jack Baur"
White Heat,Raoul Walsh,"James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly, Steve Cochran, John Archer, Wally Cassell, Fred Clark, Joel Allen, Claudia Barrett, Ray Bennett, Marshall Bradford, Chet Brandenburg, John Butler, Robert Carson, Bill Cartledge, Bill Clark, Leo Cleary, Fred Coby, Tom Coleman, G. Pat Collins, Bing Conley, Garrett Craig, Herschel Daugherty, Charles Ferguson, Art Foster, Eddie Foster, Robert Foulk, Rudy Germane, Jack Gordon, Buddy Gorman, Paul Guilfoyle, Sherry Hall, Carl Harbaugh, Jack Henderson, Clarence Hennecke, Perry Ivins, Colin Kenny, Mickey Knox, Mike Lally, Richard LaMarr, Harry Lauter, DeForrest Lawrence, Nolan Leary, Murray Leonard, Ian MacDonald, Larry McGrath, John McGuire, Sid Melton, Art Miles, Frank Mitchell, Ray Montgomery, Mike Morelli, Terry O'Sullivan, Robert Osterloh, Milton Parsons, Jack Perrin, Jack Perry, Lee Phelps, Eddie Phillips, John Pickard, Ford Rainey, Joey Ray, Anthony Redondo, Grandon Rhodes, John Rice, John Roy, Jeffrey Sayre, Allen D. Sewall, Cap Somers, George Spaulding, Harry Strang, George Taylor, Jim Thorpe, Jim Toney, Aline Towne, Sid Troy, Ralph Volkie, Jack Worth"
The Hidden Fortress,Akira Kurosawa,"Toshirô Mifune, Minoru Chiaki, Kamatari Fujiwara, Susumu Fujita, Takashi Shimura, Misa Uehara, Eiko Miyoshi, Toshiko Higuchi, Yû Fujiki, Yoshio Tsuchiya, Kokuten Kôdô, Takeshi Katô, Kôji Mitsui, Toranosuke Ogawa, Kichijirô Ueda, Nakajirô Tomita, Yoshifumi Tajima, Ikio Sawamura, Senkichi Ômura, Sachio Sakai, Makoto Satô, Yoshio Kosugi, Akira Tani, Yutaka Sada, Takeo Oikawa, Tadao Nakamaru, Takuzô Kumagai, Shôichi Hirose, Etsuo Saijô, Masayoshi Nagashima, Fuminori Ôhashi, Shin Ôtomo, Minoru Itô, Haruo Suzuki, Shigekatsu Kanazawa, Kazuo Hinata, Haruo Nakajima, Ryû Kuze, Ichirô Chiba, Shigemi Sunagawa, Rinsaku Ogata, Hiroyoshi Yamaguchi, Haruya Sakamoto"
Elle,Paul Verhoeven,"Isabelle Huppert, Laurent Lafitte, Anne Consigny, Charles Berling, Virginie Efira, Judith Magre, Christian Berkel, Jonas Bloquet, Alice Isaaz, Vimala Pons, Raphaël Lenglet, Arthur Mazet, Lucas Prisor, Hugo Conzelmann, Stéphane Bak, Hugues Martel, Anne Loiret, Nicolas Beaucaire, David Léotard, Loïc Legendre, Jean-Noël Martin, Eric Savin, Zohar Wexler, Olivia Gotanègre, Raphael Kahn, Jina Djemba, Nicolas Ullmann, Florent Peiffer, Laurent Orry, Fleur Geffrier, Marie Berto, Caroline Breton, Oury Milshtein, Dominique Plaideau, Elise Lahouassa, Jean Douchet, Jean-Yves Freyburger, Vincent Launay-Franceschini, François Nambot, Constance Demontoy, Elise Lahouassa, Valérie Trajanovski"
Still Walking,Hirokazu Koreeda,"Hiroshi Abe, Yui Natsukawa, You, Kazuya Takahashi, Shohei Tanaka, Kirin Kiki, Yoshio Harada, Ryôga Hayashi, Haruko Katô, Hotaru Nomoto, Susumu Terajima"
The Rider,Chloé Zhao,"Brady Jandreau, Mooney, Tim Jandreau, Lilly Jandreau, Leroy Pourier, Cat Clifford, Tanner Langdeau, James Calhoon, Lane Scott, Cameron Wright, Jordon Slick Phelps, Donnie Whirlwind Horse, Terri Dawn Pourier, Allen Reddy, Greg Barber, Kevin Hunter, Marshall Byrne, Frank Steele, Ethan Steele, Helene Gaddie, Derrick Janis, Todd O'Bryan, Gabrielle Waln, Griffin Grooms, Summer Boomer, Peppy, Jim, John Pfortmiller, Amanda Reddy, Alejandro Rama, Adriano Rama, Steven DeWolfe"
